Code	Exams	Prob	Time	Seed.Gen	Seed.Code
code2	35	30	1.461000	2525	2525
code2	35	30	0.009000	2526	2526
code2	35	30	6.741000	2527	2527
code2	35	30	13.219000	2528	2528
code2	35	30	25.277000	2529	2529
code2	35	30	0.010000	2530	2530
code2	35	40	0.684000	2601	2601
code2	35	40	44.396000	2602	2602
code2	35	40	5.632000	2603	2603
code2	35	40	0.045000	2604	2604
code2	35	40	0.088000	2605	2605
code2	35	40	0.739000	2606	2606
code2	35	40	8.222000	2607	2607
code2	35	40	5.124000	2608	2608
code2	35	40	8.364000	2609	2609
code2	35	40	185.219000	2610	2610
code2	35	40	77.441000	2611	2611
code2	35	40	11.840000	2612	2612
code2	35	40	1000.001000	2613	2613
code2	35	40	4.753000	2614	2614
code2	35	40	1.179000	2615	2615
code2	35	40	0.427000	2616	2616
code2	35	40	29.134000	2617	2617
code2	35	40	18.516000	2618	2618
code2	35	40	623.430000	2619	2619
code2	35	40	0.053000	2620	2620
code2	35	40	36.712000	2621	2621
code2	35	40	0.163000	2622	2622
code2	35	40	18.643000	2623	2623
code2	35	40	85.761000	2624	2624
code2	35	40	3.372000	2625	2625
code2	35	40	50.875000	2626	2626
code2	35	40	1.302000	2627	2627
code2	35	40	0.281000	2628	2628
code2	35	40	54.147000	2629	2629
code2	35	40	102.500000	2630	2630
code2	40	20	2.372000	2701	2701
code2	40	20	11.623000	2702	2702
code2	40	20	1.218000	2703	2703
code2	40	20	0.057000	2704	2704
code2	40	20	85.132000	2705	2705
code2	40	20	0.767000	2706	2706
code2	40	20	0.617000	2707	2707
code2	40	20	13.537000	2708	2708
code2	40	20	5.224000	2709	2709
code2	40	20	0.076000	2710	2710
code2	40	20	0.203000	2711	2711
code2	40	20	0.022000	2712	2712
code2	40	20	0.539000	2713	2713
code2	40	20	5.983000	2714	2714
code2	40	20	2.709000	2715	2715
code2	40	20	0.045000	2716	2716
code2	40	20	250.066000	2717	2717
code2	40	20	3.185000	2718	2718
code2	40	20	0.097000	2719	2719
code2	40	20	0.429000	2720	2720
code2	40	20	0.611000	2721	2721
code2	40	20	0.167000	2722	2722
code2	40	20	0.227000	2723	2723
code2	40	20	1.256000	2724	2724
code2	40	20	3.815000	2725	2725
code2	40	20	28.375000	2726	2726
code2	40	20	0.383000	2727	2727
code2	40	20	0.336000	2728	2728
code2	40	20	27.688000	2729	2729
code2	40	20	0.544000	2730	2730
code2	40	30	13.286000	2801	2801
code2	40	30	6.006000	2802	2802
code2	40	30	3.772000	2803	2803
code2	40	30	41.238000	2804	2804
code2	40	30	2.132000	2805	2805
code2	40	30	2.552000	2806	2806
code2	40	30	0.572000	2807	2807
code2	40	30	148.965000	2808	2808
code2	40	30	3.948000	2809	2809
code2	40	30	363.117000	2810	2810
code2	40	30	8.201000	2811	2811
code2	40	30	6.779000	2812	2812
code2	40	30	21.187000	2813	2813
code2	40	30	2.058000	2814	2814
code2	40	30	7.022000	2815	2815
code2	40	30	72.878000	2816	2816
code2	40	30	544.512000	2817	2817
code2	40	30	3.343000	2818	2818
code2	40	30	8.023000	2819	2819
code2	40	30	31.947000	2820	2820
code2	40	30	158.834000	2821	2821
code2	40	30	123.344000	2822	2822
code2	40	30	747.328000	2823	2823
code2	40	30	49.395000	2824	2824
code2	40	30	41.694000	2825	2825
code2	40	30	19.027000	2826	2826
code2	40	30	1.852000	2827	2827
code2	40	30	0.689000	2828	2828
code2	40	30	8.692000	2829	2829
code2	40	30	0.182000	2830	2830
code2	40	40	140.478000	2901	2901
code2	40	40	227.643000	2902	2902
code2	40	40	122.663000	2903	2903
code2	40	40	830.805000	2904	2904
code2	40	40	1000.001000	2905	2905
code2	40	40	105.374000	2906	2906
code2	40	40	120.585000	2907	2907
code2	40	40	2.100000	2908	2908
code2	40	40	81.513000	2909	2909
code2	40	40	30.798000	2910	2910
code2	40	40	527.860000	2911	2911
code2	40	40	287.255000	2912	2912
code2	40	40	111.280000	2913	2913
code2	40	40	5.523000	2914	2914
code2	40	40	17.655000	2915	2915
code2	40	40	726.570000	2916	2916
code2	40	40	1000.001000	2917	2917
code2	40	40	20.500000	2918	2918
code2	40	40	1.048000	2919	2919
code2	40	40	367.684000	2920	2920
code2	40	40	67.006000	2921	2921
code2	40	40	63.984000	2922	2922
code2	40	40	124.141000	2923	2923
code2	40	40	104.282000	2924	2924
code2	40	40	424.905000	2925	2925
code2	40	40	370.350000	2926	2926
code2	40	40	853.392000	2927	2927
code2	40	40	16.001000	2928	2928
code2	40	40	18.029000	2929	2929
code2	40	40	172.829000	2930	2930
