Code	Exams	Prob	Time	Seed Gen	Seed Code
code1	10	25	0.000023	21290705072218064	6543151963265843
code1	10	25	0.000022	7434891730983584	15803335236393834
code1	10	25	0.000023	6476495519084081	6771795615483797
code1	10	25	0.000022	25068007653862967	8419134080635117
code1	10	25	0.000016	1948844615610268	49100882392929457
code1	10	25	0.000019	602224354622001	9119397134793866
code1	10	25	0.000017	33208176330005656	7407328114156312
code1	10	25	0.000021	1569099242551405	2819707084417622
code1	10	25	0.000017	4475256431692439	5085651701565584
code1	10	25	0.000018	46095811079665105	49633489849777157
code1	10	25	0.000019	782155241504159	6452292782219882
code1	10	25	0.000022	9613648444870436	8087041872850403
code1	20	5	0.000074	5230332022866052	18368187880795617
code1	20	5	0.000075	43034022839214947	8061532877721833
code1	20	5	0.000074	33602004127763496	3306610283271816
code1	20	5	0.000076	6746306850417336	7193418463935191
code1	20	5	0.000117	9542315858939319	4164897431225677
code1	20	5	0.000075	573090046705797	6570438350856768
code1	20	5	0.000077	44214377704830654	36181407920310305
code1	20	5	0.000261	422696147377721	45837919718687004
code1	20	5	0.000456	5243412113020487	7855232756112618
code1	20	5	0.000087	9018203914182504	6165059219239588
code1	20	5	0.000087	6405001197849217	7561353484251174
code1	20	5	0.000076	9425302685762228	7942293978502225
code1	20	5	0.000077	7989180862272371	5068993230928189
code1	20	5	0.000106	2669846163493482	8702651164070064
code1	20	5	0.000083	1963914194984684	6803180322776703
code1	20	5	0.000075	9521365087887722	8625251566684791
code1	20	5	0.000226	1488083406632239	6357996682583749
code1	20	5	0.000443	9771253712252224	6396063890863006
code1	20	5	0.000088	53388245960324654	24696531558622603
code1	20	5	0.000161	1274653368865739	34356335187868103
code1	20	5	0.001152	6489795065095623	6117257210123132
code1	20	5	0.000666	5354698936521796	5113782684108018
code1	20	5	0.000109	6740456754046276	48729196211621106
code1	20	5	0.000153	12588514717739807	6772096232469478
code1	20	5	0.000147	5825570820346029	584413357621083
code1	20	5	0.000087	4062962896200906	10715346434711837
code1	20	5	0.000123	42536608759755123	3842018463655583
code1	20	5	0.000167	9818299212680278	5893395215345856
code1	20	5	0.000075	8933004127204747	61019116620941
code1	20	5	0.000076	46890696129768805	7401440846613705
code1	20	15	0.000134	7535540440767265	2963983950736514
code1	20	15	0.005722	40679431933190346	6838442152250017
code1	20	15	0.000252	39976359764949776	4204635322477256
code1	20	15	0.000147	18626112686827923	9807486259015286
code1	20	15	0.001489	5768727460977568	5371902149737919
code1	20	15	0.000116	26620429610252383	4872490709431401
code1	20	15	0.000243	4254089299264979	9471050991660278
code1	20	15	0.000132	5300589953531942	15822581105269184
code1	20	15	0.000108	9868264635177458	4467489137467624
code1	20	15	0.000097	2019719195091516	7952557581238425
code1	20	15	0.000082	881243568595248	6245650424014068
code1	20	15	0.000092	6766425987330209	5030968707355473
code1	20	15	0.000094	9217568143079998	7196200735706807
code1	20	15	0.000074	7660948036032589	6802389305929696
code1	20	15	0.000086	45170433731818505	5224948980543862
code1	20	15	0.000851	721426986410536	22714992195442796
code1	20	15	0.000691	7286985453592614	5465551812148706
code1	20	15	0.000532	9380073220800428	7865233654617164
code1	20	15	0.000076	8338636628054026	8129461765313356
code1	20	15	0.000083	17703506092806687	46759754577108825
code1	20	15	0.000238	6310500439218367	299706708152101
code1	20	15	0.000116	3023009725779553	20870510618285376
code1	20	15	0.000123	7810214675035272	35708651533452307
code1	20	15	0.000084	4668535444788269	6318486422370587
code1	20	15	0.000167	531233126351498	45565054331082255
code1	20	15	0.000296	3131027894162083	7686331384840817
code1	20	15	0.000079	9519797444032293	8185514985843556
code1	20	15	0.000114	8313762986182203	2403591054378117
code1	20	15	0.000109	25597321074980783	5094129649610669
code1	20	15	0.000139	49821175171125553	7782178143414288
code1	20	25	0.000318	6304355987438731	6010204031390111
code1	20	25	0.000422	4011227792971016	6416836082739614
code1	20	25	0.000332	7027270471311815	930264325999852
code1	20	25	0.000130	9581820265335209	8228692364409168
code1	20	25	0.000087	5213145282325845	32033037069170944
code1	20	25	0.001252	42837443396489294	2308181608628197
code1	20	25	0.000544	2759244054829727	7712351900218032
code1	20	25	0.000297	8351011802397279	6878907410897216
code1	20	25	0.001171	5376296026870209	3791355699133119
code1	20	25	0.000088	5310541047731803	6336830114684573
code1	20	25	0.000156	25628726256591927	23023204792904728
code1	20	25	0.000079	31966454094846786	9066913661184095
code1	20	25	0.003598	7031812311005252	9196585607976804
code1	20	25	0.000561	45294120430862994	17535152838144352
code1	20	25	0.000559	29653836940223377	6722617903348005
code1	20	25	0.000429	36083256795783114	9211351434280821
code1	20	25	0.000122	9787419623761425	7660909802757445
code1	20	25	0.000262	9350040187383215	696681897676227
